#Types Before Cut: 11091
#Types After Cut: 9691
#Search Hits: 0
407	8	21.130	умер
408	8	21.130	учился
409	8	21.130	учится
410	8	21.130	хе
411	8	21.130	эт
412	30	20.976	чего
413	36	20.928	одна
414	13	20.757	бывает
415	13	20.757	говорила
416	13	20.757	специально
417	27	20.743	слова
418	19	20.609	павел
419	14	20.392	надеюсь
420	10	20.331	интересные
421	10	20.331	рассказывала
422	27	19.626	ей
423	40	19.591	говорить
424	11	19.133	будто
425	11	19.133	знаете
426	11	19.133	отец
427	11	19.133	пошел
428	19	19.032	хотел
429	12	18.546	купить
430	12	18.546	семье
431	7	18.489	бабушкой
432	7	18.489	боже
433	7	18.489	буквы
434	7	18.489	двери
435	7	18.489	детство
436	7	18.489	детьми
437	7	18.489	друзьями
438	7	18.489	ездить
439	7	18.489	ехали
440	7	18.489	живёт
441	7	18.489	забыла
442	7	18.489	задание
443	7	18.489	карл
444	7	18.489	квартиры
445	7	18.489	красивый
446	7	18.489	ненавижу
447	7	18.489	нету
448	7	18.489	парень
449	7	18.489	понравилась
450	7	18.489	пошёл
451	7	18.489	пытаюсь
452	7	18.489	ребят
453	7	18.489	секунд
454	7	18.489	скажи
455	7	18.489	сорок
456	7	18.489	супер
457	7	18.489	троих
458	7	18.489	троллейбус
459	7	18.489	человечек
460	7	18.489	читаю
461	7	18.489	чё
462	153	18.478	еще
463	16	18.340	реально
464	16	18.340	уж
465	13	18.270	другую
466	13	18.270	машина
467	13	18.270	улице
468	9	17.890	брали
469	9	17.890	друзей
470	9	17.890	едем
471	9	17.890	жил
472	9	17.890	институте
473	9	17.890	историю
474	9	17.890	маленькая
475	9	17.890	мое
476	9	17.890	смеется
477	9	17.890	твоя
478	78	17.029	больше
479	17	16.949	разные
480	10	16.841	мной
481	10	16.841	написано
482	23	16.759	равно
483	25	16.627	лучше
484	11	16.369	посмотреть
485	11	16.369	скажем
486	11	16.369	считаю
487	12	16.184	делали
488	12	16.184	друзья
489	13	16.171	языка
490	21	15.881	виктор
491	6	15.847	distinct
492	6	15.847	onion
493	6	15.847	part
494	6	15.847	автобус
495	6	15.847	ам
496	6	15.847	антифриз
497	6	15.847	бабуля
498	6	15.847	бабушки
499	6	15.847	бешбармак
500	6	15.847	бутово
501	6	15.847	вау
502	6	15.847	верно
503	6	15.847	волосы
504	6	15.847	восемнадцать
505	6	15.847	выпускной
506	6	15.847	вышла
507	6	15.847	гончар
508	6	15.847	готовился
509	6	15.847	жигули
510	6	15.847	загрузили
511	6	15.847	запомнила
512	6	15.847	играли
513	6	15.847	идёт
514	6	15.847	книги
515	6	15.847	колесо
516	6	15.847	коллектив
517	6	15.847	кормила
518	6	15.847	красиво
519	6	15.847	культура
520	6	15.847	лагере
521	6	15.847	лингвистике
522	6	15.847	литературу
523	6	15.847	лук
524	6	15.847	любил
525	6	15.847	любимый
526	6	15.847	математике
527	6	15.847	мгм
528	6	15.847	мем
529	6	15.847	молодец
530	6	15.847	мужик
531	6	15.847	немец
532	6	15.847	ногой
533	6	15.847	обед
534	6	15.847	орешки
535	6	15.847	погрей
536	6	15.847	подумала
537	6	15.847	покупайте
538	6	15.847	полу
539	6	15.847	польский
540	6	15.847	понравился
541	6	15.847	поступил
542	6	15.847	преподаватели
543	6	15.847	причём
544	6	15.847	пятёрка
545	6	15.847	саш
546	6	15.847	семьдесят
547	6	15.847	слышно
548	6	15.847	снимали
549	6	15.847	снимать
550	6	15.847	спал
551	6	15.847	спрашивают
552	6	15.847	спросить
553	6	15.847	студенты
554	6	15.847	сынок
555	6	15.847	убирай
556	6	15.847	учителей
557	6	15.847	учителем
558	6	15.847	худи
559	6	15.847	чувак
560	6	15.847	шёл
561	6	15.847	щас
562	6	15.847	этаж
563	6	15.847	эх
564	29	15.805	соответственно
565	17	15.518	заниматься
566	8	15.472	дверь
567	8	15.472	интересный
568	8	15.472	паре
569	8	15.472	работала
570	8	15.472	родителей
571	16	15.179	естественно
572	24	15.179	понятно
573	19	15.028	говоря
574	50	14.974	него
575	64	14.974	тогда
576	355	14.950	но
577	18	14.615	разных
578	18	14.615	сначала
579	9	14.582	берут
580	9	14.582	женщина
581	9	14.582	машине
582	9	14.582	можете
583	9	14.582	нечего
584	9	14.582	половиной
585	73	14.582	поэтому
586	9	14.582	тяжело
587	9	14.582	часа
588	13	14.364	завтра
589	13	14.364	спокойно
590	22	14.236	дальше
591	10	14.230	пришла
592	16	13.824	наша
593	16	13.824	совершенно
594	26	13.519	плюс
595	15	13.454	вас
596	18	13.452	е
597	18	13.452	каким
598	18	13.452	русский
599	24	13.372	чуть
600	20	13.301	каких
601	38	13.253	достаточно
602	5	13.206	num
603	5	13.206	арахис
604	5	13.206	бабушку
605	5	13.206	баллов
606	5	13.206	венера
607	5	13.206	вернее
608	5	13.206	видела
609	5	13.206	вкусный
610	5	13.206	вложил
611	5	13.206	вырезать
612	5	13.206	выставках
613	5	13.206	вышло
614	5	13.206	гешу
615	5	13.206	голову
616	5	13.206	горбачёв
617	5	13.206	гости
618	5	13.206	грязь
619	5	13.206	гэкаю
620	5	13.206	двадцати
621	5	13.206	делаем
622	5	13.206	доехали
623	5	13.206	ездила
624	5	13.206	ездит
625	5	13.206	ест
626	5	13.206	жестко
627	5	13.206	жесть
628	5	13.206	живу
629	5	13.206	жила
630	5	13.206	зашли
631	5	13.206	идешь
632	5	13.206	ии
633	5	13.206	ильямихайлович
634	5	13.206	имею
635	5	13.206	инопланетян
636	5	13.206	итак
637	5	13.206	камеру
638	5	13.206	каракатицах
639	5	13.206	картинки
640	5	13.206	кили
641	5	13.206	килограмм
642	5	13.206	классов
643	5	13.206	комнате
644	5	13.206	коридоре
645	5	13.206	красивые
646	5	13.206	крестик
647	5	13.206	крысу
648	5	13.206	лекцию
649	5	13.206	лилии
650	5	13.206	лингвисты
651	5	13.206	лол
652	5	13.206	лука
653	5	13.206	маккартни
654	5	13.206	мальчик
655	5	13.206	маме
656	5	13.206	маму
657	5	13.206	марс
658	5	13.206	математический
659	5	13.206	меровинги
660	5	13.206	мечты
661	5	13.206	миндаль
662	5	13.206	мол
663	5	13.206	нагло
664	5	13.206	най
665	5	13.206	ненавидят
666	5	13.206	нём
667	5	13.206	ого
668	5	13.206	одновременнно
669	5	13.206	ок
670	5	13.206	очки
671	5	13.206	пальто
672	5	13.206	парадигма
673	5	13.206	переехать
674	5	13.206	писать
675	5	13.206	платье
676	5	13.206	подписывайтесь
677	5	13.206	подумал
678	5	13.206	поехала
679	5	13.206	получалось
